X,hh_id,country,hh_size
1,HHA10_10001,uk,4
2,HHA10_10002,uk,2
3,HHA10_10003,uk,2
4,HHA10_10004,uk,2
5,HHA10_10005,uk,1
6,HHA10_10006,uk,3
7,HHA10_10007,uk,1
8,HHA10_10008,uk,2
9,HHA10_10010,uk,2
10,HHA10_10011,uk,2
11,HHA10_10012,uk,1
12,HHA10_10013,uk,3
13,HHA10_10015,uk,4
14,HHA10_10016,uk,3
15,HHA10_10017,uk,3
16,HHA10_10018,uk,2
17,HHA10_10019,uk,2
18,HHA10_10020,uk,1
19,HHA10_10021,uk,1
20,HHA10_10022,uk,1
21,HHA10_10023,uk,3
22,HHA10_10024,uk,1
23,HHA10_10025,uk,1
24,HHA10_10027,uk,1
25,HHA10_10028,uk,2
26,HHA10_10029,uk,4
27,HHA10_10030,uk,5
28,HHA10_10032,uk,2
29,HHA10_10033,uk,2
30,HHA10_10034,uk,3
31,HHA10_10037,uk,2
32,HHA10_10038,uk,5
33,HHA10_10039,uk,4
34,HHA10_10040,uk,4
35,HHA10_10041,uk,2
36,HHA10_10043,uk,1
37,HHA10_10044,uk,2
38,HHA10_10045,uk,2
39,HHA10_10047,uk,1
40,HHA10_10048,uk,2
41,HHA10_10049,uk,3
42,HHA10_10051,uk,1
43,HHA10_10052,uk,2
44,HHA10_10053,uk,3
45,HHA10_10054,uk,2
46,HHA10_10055,uk,1
47,HHA10_10056,uk,4
48,HHA10_10057,uk,1
49,HHA10_10058,uk,2
50,HHA10_10059,uk,2
51,HHA10_10060,uk,4
52,HHA10_10061,uk,2
53,HHA10_10063,uk,1
54,HHA10_10064,uk,2
55,HHA10_10065,uk,3
56,HHA10_10066,uk,3
57,HHA10_10068,uk,2
58,HHA10_10069,uk,2
59,HHA10_10070,uk,2
60,HHA10_10071,uk,2
61,HHA10_10072,uk,4
62,HHA10_10074,uk,1
63,HHA10_10075,uk,1
64,HHA10_10076,uk,3
65,HHA10_10078,uk,2
66,HHA10_10079,uk,1
67,HHA10_10080,uk,1
68,HHA10_10083,uk,5
69,HHA10_10084,uk,2
70,HHA10_10085,uk,2
71,HHA10_10086,uk,2
72,HHA10_10087,uk,4
73,HHA10_10088,uk,1
74,HHA10_10089,uk,2
75,HHA10_10090,uk,1
76,HHA10_10091,uk,2
77,HHA10_10092,uk,1
78,HHA10_10093,uk,2
79,HHA10_10094,uk,1
80,HHA10_10095,uk,1
81,HHA10_10096,uk,3
82,HHA10_10097,uk,2
83,HHA10_10098,uk,2
84,HHA10_10099,uk,2
85,HHA10_10103,uk,2
86,HHA10_10104,uk,2
87,HHA10_10105,uk,2
88,HHA10_10106,uk,2
89,HHA10_10107,uk,1
90,HHA10_10108,uk,2
91,HHA10_10109,uk,1
92,HHA10_10111,uk,3
93,HHA10_10112,uk,5
94,HHA10_10113,uk,1
95,HHA10_10115,uk,3
96,HHA10_10116,uk,1
97,HHA10_10117,uk,2
98,HHA10_10118,uk,2
99,HHA10_10119,uk,2
100,HHA10_10120,uk,2
101,HHA10_10121,uk,2
102,HHA10_10122,uk,3
103,HHA10_10123,uk,2
104,HHA10_10125,uk,1
105,HHA10_10126,uk,2
106,HHA10_10127,uk,1
107,HHA10_10128,uk,1
108,HHA10_10129,uk,1
109,HHA10_10130,uk,4
110,HHA10_10131,uk,2
111,HHA10_10134,uk,3
112,HHA10_10135,uk,1
113,HHA10_10136,uk,2
114,HHA10_10137,uk,2
115,HHA10_10138,uk,2
116,HHA10_10140,uk,2
117,HHA10_10141,uk,1
118,HHA10_10142,uk,5
119,HHA10_10143,uk,3
120,HHA10_10144,uk,2
121,HHA10_10145,uk,4
122,HHA10_10146,uk,1
123,HHA10_10147,uk,1
124,HHA10_10148,uk,4
125,HHA10_10149,uk,2
126,HHA10_10150,uk,1
127,HHA10_10151,uk,2
128,HHA10_10152,uk,2
129,HHA10_10153,uk,2
130,HHA10_10154,uk,1
131,HHA10_10155,uk,1
132,HHA10_10156,uk,3
133,HHA10_10157,uk,3
134,HHA10_10158,uk,1
135,HHA10_10159,uk,1
136,HHA10_10161,uk,1
137,HHA10_10162,uk,4
138,HHA10_10163,uk,3
139,HHA10_10164,uk,2
140,HHA10_10165,uk,1
141,HHA10_10166,uk,2
142,HHA10_10167,uk,5
143,HHA10_10168,uk,2
144,HHA10_10169,uk,1
145,HHA10_10170,uk,2
146,HHA10_10171,uk,2
147,HHA10_10172,uk,1
148,HHA10_10173,uk,2
149,HHA10_10174,uk,5
150,HHA10_10175,uk,2
151,HHA10_10176,uk,2
152,HHA10_10179,uk,1
153,HHA10_10180,uk,2
154,HHA10_10181,uk,2
155,HHA10_10182,uk,2
156,HHA10_10183,uk,4
157,HHA10_10184,uk,2
158,HHA10_10186,uk,1
159,HHA10_10188,uk,4
160,HHA10_10189,uk,2
161,HHA10_10190,uk,4
162,HHA10_10191,uk,1
163,HHA10_10192,uk,4
164,HHA10_10193,uk,1
165,HHA10_10194,uk,2
166,HHA10_10195,uk,3
167,HHA10_10197,uk,4
168,HHA10_10198,uk,2
169,HHA10_10199,uk,1
170,HHA10_10200,uk,1
171,HHA10_10201,uk,2
172,HHA10_10202,uk,2
173,HHA10_10203,uk,1
174,HHA10_10204,uk,5
175,HHA10_10205,uk,1
176,HHA10_10206,uk,4
177,HHA10_10207,uk,5
178,HHA10_10208,uk,6
179,HHA10_10209,uk,2
180,HHA10_10211,uk,2
181,HHA10_10213,uk,3
182,HHA10_10214,uk,1
183,HHA10_10219,uk,4
184,HHA10_10220,uk,3
185,HHA10_10221,uk,4
186,HHA10_10222,uk,1
187,HHA10_10223,uk,2
188,HHA10_10224,uk,1
189,HHA10_10225,uk,2
190,HHA10_10228,uk,1
191,HHA10_10229,uk,4
192,HHA10_10230,uk,2
193,HHA10_10234,uk,2
194,HHA10_10235,uk,4
195,HHA10_10236,uk,2
196,HHA10_10237,uk,3
197,HHA10_10238,uk,3
198,HHA10_10240,uk,1
199,HHA10_10241,uk,1
200,HHA10_10242,uk,2
201,HHA10_10243,uk,2
202,HHA10_10245,uk,2
203,HHA10_10246,uk,5
204,HHA10_10249,uk,3
205,HHA10_10252,uk,3
206,HHA10_10253,uk,3
207,HHA10_10254,uk,2
208,HHA10_10255,uk,2
209,HHA10_10256,uk,4
210,HHA10_10260,uk,4
211,HHA10_10262,uk,2
212,HHA10_10263,uk,2
213,HHA10_10264,uk,1
214,HHA10_10265,uk,1
215,HHA10_10267,uk,1
216,HHA10_10268,uk,4
217,HHA10_10269,uk,2
218,HHA10_10270,uk,1
219,HHA10_10272,uk,1
220,HHA10_10273,uk,2
221,HHA10_10275,uk,3
222,HHA10_10276,uk,1
223,HHA10_10277,uk,4
224,HHA10_10279,uk,3
225,HHA10_10281,uk,1
226,HHA10_10283,uk,3
227,HHA10_10284,uk,2
228,HHA10_10285,uk,3
229,HHA10_10286,uk,4
230,HHA10_10287,uk,3
231,HHA10_10288,uk,3
232,HHA10_10290,uk,1
233,HHA10_10291,uk,2
234,HHA10_10292,uk,1
235,HHA10_10293,uk,4
236,HHA10_10294,uk,2
237,HHA10_10295,uk,2
238,HHA10_10296,uk,1
239,HHA10_10298,uk,1
240,HHA10_10301,uk,4
241,HHA10_10302,uk,4
242,HHA10_10307,uk,1
243,HHA10_10308,uk,2
244,HHA10_10309,uk,3
245,HHA10_10310,uk,3
246,HHA10_10311,uk,2
247,HHA10_10312,uk,5
248,HHA10_10313,uk,2
249,HHA10_10314,uk,2
250,HHA10_10315,uk,1
251,HHA10_10316,uk,2
252,HHA10_10317,uk,2
253,HHA10_10318,uk,4
254,HHA10_10319,uk,2
255,HHA10_10320,uk,4
256,HHA10_10322,uk,1
257,HHA10_10324,uk,1
258,HHA10_10328,uk,1
259,HHA10_10330,uk,2
260,HHA10_10331,uk,4
261,HHA10_10332,uk,2
262,HHA10_10333,uk,1
263,HHA10_10334,uk,1
264,HHA10_10336,uk,4
265,HHA10_10338,uk,4
266,HHA10_10339,uk,3
267,HHA10_10340,uk,4
268,HHA10_10341,uk,3
269,HHA10_10342,uk,1
270,HHA10_10345,uk,2
271,HHA10_10346,uk,2
272,HHA10_10347,uk,4
273,HHA10_10348,uk,1
274,HHA10_10349,uk,2
275,HHA10_10351,uk,2
276,HHA10_10352,uk,2
277,HHA10_10354,uk,2
278,HHA10_10355,uk,4
279,HHA10_10356,uk,3
280,HHA10_10357,uk,4
281,HHA10_10359,uk,6
282,HHA10_10361,uk,1
283,HHA10_10362,uk,1
284,HHA10_10364,uk,2
285,HHA10_10365,uk,5
286,HHA10_10366,uk,6
287,HHA10_10368,uk,2
288,HHA10_10369,uk,2
289,HHA10_10370,uk,3
290,HHA10_10371,uk,3
291,HHA10_10372,uk,3
292,HHA10_10373,uk,2
293,HHA10_10374,uk,1
294,HHA10_10375,uk,2
295,HHA10_10376,uk,1
296,HHA10_10377,uk,1
297,HHA10_10378,uk,4
298,HHA10_10379,uk,2
299,HHA10_10380,uk,2
300,HHA10_10381,uk,4
301,HHA10_10382,uk,3
302,HHA10_10384,uk,2
303,HHA10_10385,uk,2
304,HHA10_10386,uk,3
305,HHA10_10387,uk,2
306,HHA10_10389,uk,5
307,HHA10_10390,uk,2
308,HHA10_10393,uk,3
309,HHA10_10394,uk,2
310,HHA10_10396,uk,1
311,HHA10_10397,uk,2
312,HHA10_10401,uk,2
313,HHA10_10403,uk,2
314,HHA10_10404,uk,2
315,HHA10_10406,uk,2
316,HHA10_10407,uk,2
317,HHA10_10409,uk,2
318,HHA10_10411,uk,2
319,HHA10_10412,uk,4
320,HHA10_10413,uk,5
321,HHA10_10414,uk,3
322,HHA10_10415,uk,3
323,HHA10_10416,uk,1
324,HHA10_10418,uk,1
325,HHA10_10420,uk,3
326,HHA10_10422,uk,2
327,HHA10_10423,uk,2
328,HHA10_10424,uk,2
329,HHA10_10425,uk,1
330,HHA10_10426,uk,3
331,HHA10_10427,uk,3
332,HHA10_10428,uk,1
333,HHA10_10429,uk,2
334,HHA10_10430,uk,2
335,HHA10_10432,uk,3
336,HHA10_10433,uk,4
337,HHA10_10435,uk,4
338,HHA10_10436,uk,2
339,HHA10_10437,uk,4
340,HHA10_10439,uk,2
341,HHA10_10440,uk,2
342,HHA10_10441,uk,2
343,HHA10_10442,uk,4
344,HHA10_10444,uk,2
345,HHA10_10445,uk,1
346,HHA10_10446,uk,2
347,HHA10_10449,uk,2
348,HHA10_10451,uk,2
349,HHA10_10452,uk,2
350,HHA10_10453,uk,1
351,HHA10_10456,uk,5
352,HHA10_10457,uk,4
353,HHA10_10458,uk,1
354,HHA10_10459,uk,1
355,HHA10_10460,uk,3
356,HHA10_10463,uk,3
357,HHA10_10465,uk,3
358,HHA10_10466,uk,3
359,HHA10_10469,uk,1
360,HHA10_10470,uk,4
361,HHA10_10471,uk,1
362,HHA10_10472,uk,4
363,HHA10_10473,uk,2
364,HHA10_10474,uk,2
365,HHA10_10477,uk,2
366,HHA10_10480,uk,2
367,HHA10_10481,uk,2
368,HHA10_10482,uk,2
369,HHA10_10483,uk,4
370,HHA10_10484,uk,1
371,HHA10_10486,uk,4
372,HHA10_10489,uk,2
373,HHA10_10490,uk,2
374,HHA10_10491,uk,3
375,HHA10_10492,uk,2
376,HHA10_10493,uk,2
377,HHA10_10494,uk,4
378,HHA10_10495,uk,1
379,HHA10_10496,uk,2
380,HHA10_10499,uk,4
381,HHA10_10502,uk,4
382,HHA10_10503,uk,1
383,HHA10_10504,uk,2
384,HHA10_10506,uk,3
385,HHA10_10507,uk,3
386,HHA10_10508,uk,3
387,HHA10_10510,uk,2
388,HHA10_10514,uk,4
389,HHA10_10517,uk,5
390,HHA10_10519,uk,1
391,HHA10_10520,uk,2
392,HHA10_10521,uk,4
393,HHA10_10522,uk,2
394,HHA10_10524,uk,2
395,HHA10_10527,uk,3
396,HHA10_10530,uk,2
397,HHA10_10531,uk,3
398,HHA10_10532,uk,2
399,HHA10_10537,uk,1
400,HHA10_10538,uk,3
401,HHA10_10539,uk,2
402,HHA10_10541,uk,2
403,HHA10_10542,uk,2
404,HHA10_10545,uk,3
405,HHA10_10546,uk,1
406,HHA10_10547,uk,3
407,HHA10_10548,uk,2
408,HHA10_10550,uk,2
409,HHA10_10551,uk,3
410,HHA10_10557,uk,2
411,HHA10_10558,uk,4
412,HHA10_10562,uk,1
413,HHA10_10563,uk,6
414,HHA10_10566,uk,3
415,HHA10_10567,uk,2
416,HHA10_10572,uk,2
417,HHA10_10575,uk,3
418,HHA10_10576,uk,3
419,HHA10_10577,uk,5
420,HHA10_10580,uk,2
421,HHA10_10581,uk,3
422,HHA10_10583,uk,1
423,HHA10_10586,uk,2
424,HHA10_10587,uk,2
425,HHA10_10589,uk,1
426,HHA10_10594,uk,3
427,HHA10_10596,uk,2
428,HHA10_10599,uk,1
429,HHA10_10600,uk,2
430,HHA10_10605,uk,4
431,HHA10_10606,uk,5
432,HHA10_10607,uk,1
433,HHA10_10608,uk,4
434,HHA10_10610,uk,2
435,HHA10_10612,uk,2
436,HHA10_10617,uk,1
437,HHA10_10618,uk,1
438,HHA10_10620,uk,2
439,HHA10_10622,uk,1
440,HHA10_10629,uk,3
441,HHA10_10630,uk,1
442,HHA10_10632,uk,2
443,HHA10_10636,uk,3
444,HHA10_10637,uk,1
445,HHA10_10640,uk,3
446,HHA10_10641,uk,2
447,HHA10_10642,uk,3
448,HHA10_10658,uk,3
449,HHA10_10664,uk,1
450,HHA10_10668,uk,2
451,HHA10_10672,uk,2
452,HHA10_10675,uk,2
453,HHA10_10676,uk,2
454,HHA10_10677,uk,1
455,HHA10_10678,uk,6
456,HHA10_10679,uk,2
457,HHA10_10680,uk,2
458,HHA10_10681,uk,2
459,HHA10_10682,uk,2
460,HHA10_10683,uk,1
461,HHA10_10684,uk,2
462,HHA10_10686,uk,4
463,HHA10_10688,uk,2
464,HHA10_10689,uk,1
465,HHA10_10690,uk,5
466,HHA10_10691,uk,2
467,HHA10_10692,uk,3
468,HHA10_10693,uk,3
469,HHA10_10694,uk,4
470,HHA10_10696,uk,1
471,HHA10_10697,uk,4
472,HHA10_10700,uk,2
473,HHA10_10701,uk,3
474,HHA10_10702,uk,2
475,HHA10_10703,uk,2
476,HHA10_10704,uk,1
477,HHA10_10707,uk,2
478,HHA10_10708,uk,2
479,HHA10_10709,uk,2
480,HHA10_10710,uk,1
481,HHA10_10711,uk,2
482,HHA10_10712,uk,2
483,HHA10_10713,uk,2
484,HHA10_10714,uk,3
485,HHA10_10716,uk,2
486,HHA10_10717,uk,2
487,HHA10_10718,uk,1
488,HHA10_10720,uk,6
489,HHA10_10721,uk,4
490,HHA10_10722,uk,2
491,HHA10_10723,uk,2
492,HHA10_10726,uk,1
493,HHA10_10727,uk,2
494,HHA10_10728,uk,4
495,HHA10_10729,uk,2
496,HHA10_10730,uk,3
497,HHA10_10731,uk,2
498,HHA10_10732,uk,1
499,HHA10_10733,uk,2
500,HHA10_10734,uk,3
501,HHA10_10736,uk,1
502,HHA10_10737,uk,2
503,HHA10_10738,uk,2
504,HHA10_10739,uk,2
505,HHA10_10740,uk,2
506,HHA10_10742,uk,3
507,HHA10_10744,uk,1
508,HHA10_10745,uk,2
509,HHA10_10746,uk,1
510,HHA10_10747,uk,1
511,HHA10_10748,uk,3
512,HHA10_10749,uk,1
513,HHA10_10750,uk,3
514,HHA10_10751,uk,4
515,HHA10_10753,uk,1
516,HHA10_10754,uk,3
517,HHA10_10756,uk,1
518,HHA10_10757,uk,3
519,HHA10_10758,uk,2
520,HHA10_10761,uk,2
