"part_id","hh_id","part_age","part_gender"
"A1_10001","HHA1_10001","40-49","F"
"A1_10010","HHA1_10010","50-59","F"
"A1_10100","HHA1_10100","50-59","F"
"A1_11000","HHA1_11000","50-59","F"
"A8_10213","HHA8_10213","50-59","F"
"F8_605179","HHF8_605179","0-4","F"
"F8_605181","HHF8_605181","5-11","F"
"F8_605184","HHF8_605184","40-49","F"
"F8_605186","HHF8_605186","18-29","F"
"F8_605192","HHF8_605192","12-17","F"
"F8_605193","HHF8_605193","18-29","F"
"F8_605199","HHF8_605199","12-17","M"
"F8_605201","HHF8_605201","5-11","M"
"F8_605204","HHF8_605204","30-39","M"
"F8_605205","HHF8_605205","12-17","F"
"A8_10214","HHA8_10214","60-69","F"
"F8_605207","HHF8_605207","40-49","M"
"F8_605208","HHF8_605208","40-49","M"
"F8_605209","HHF8_605209","30-39","F"
"F8_605215","HHF8_605215","30-39","M"
"F8_605216","HHF8_605216","30-39","M"
"F8_605220","HHF8_605220","18-29","F"
"F8_605221","HHF8_605221","30-39","F"
"F8_605222","HHF8_605222","30-39","M"
"F8_605229","HHF8_605229",NA,"F"
"F8_605234","HHF8_605234","30-39","M"
"A8_10215","HHA8_10215","60-69","M"
"F8_605237","HHF8_605237","50-59","F"
"F8_605238","HHF8_605238","30-39","F"
"F8_605239","HHF8_605239","18-29","M"
"F8_605241","HHF8_605241","12-17","M"
"F8_605243","HHF8_605243","18-29","M"
"F8_605251","HHF8_605251","12-17","M"
"F8_605252","HHF8_605252","50-59","M"
"F8_605254","HHF8_605254","50-59","M"
"F8_605255","HHF8_605255","40-49","M"
"F8_605256","HHF8_605256","60-69","F"
"A8_10216","HHA8_10216","50-59","F"
"F8_605258","HHF8_605258","12-17","F"
"F8_605260","HHF8_605260","60-69","M"
"F8_605262","HHF8_605262","12-17","M"
"F8_605263","HHF8_605263","12-17","M"
"F8_605264","HHF8_605264","5-11","F"
"F8_605266","HHF8_605266","5-11","M"
"F8_605268","HHF8_605268","30-39","F"
"F8_605270","HHF8_605270","12-17","M"
"F8_605274","HHF8_605274","12-17","F"
"F8_605275","HHF8_605275","12-17","F"
"A8_10218","HHA8_10218","40-49","M"
"F8_605276","HHF8_605276","5-11","M"
"F8_605277","HHF8_605277","5-11","M"
"F8_605278","HHF8_605278","0-4","F"
"F8_605281","HHF8_605281","60-69","F"
"F8_605282","HHF8_605282","12-17","F"
"F8_605283","HHF8_605283","0-4","F"
"F8_605284","HHF8_605284","12-17","F"
"F8_605288","HHF8_605288","12-17","F"
"F8_605290","HHF8_605290","0-4","M"
"F8_605291","HHF8_605291","30-39","F"
"A8_10219","HHA8_10219","40-49","F"
"F8_605294","HHF8_605294","12-17","F"
"F8_605295","HHF8_605295","5-11","F"
"F8_605296","HHF8_605296","0-4","F"
"F8_605297","HHF8_605297","5-11","M"
"F8_605298","HHF8_605298","12-17","M"
"F8_605299","HHF8_605299","12-17","F"
"F8_605300","HHF8_605300","12-17","F"
"F8_605302","HHF8_605302","5-11","F"
"F8_605303","HHF8_605303","5-11","M"
"F8_605304","HHF8_605304","5-11","F"
"A8_10220","HHA8_10220","30-39","M"
"F8_605305","HHF8_605305","0-4","F"
"F8_605306","HHF8_605306","0-4","M"
"F8_605309","HHF8_605309",NA,"F"
"F8_605311","HHF8_605311","12-17","F"
"F8_605312","HHF8_605312","18-29","F"
"F8_605313","HHF8_605313","0-4","M"
"F8_605314","HHF8_605314","12-17","M"
"F8_605319","HHF8_605319","30-39","F"
"F8_605321","HHF8_605321","5-11","F"
"F8_605322","HHF8_605322","5-11","M"
"A8_10221","HHA8_10221","30-39","M"
"F8_605323","HHF8_605323","12-17","M"
"F8_605324","HHF8_605324","0-4","M"
