part_id,sday_id,dayofweek,day,month,year,wave
A1_10001,2020.03.24,2,24,3,20,1
A1_10002,2020.03.24,2,24,3,20,1
A1_10003,2020.03.24,2,24,3,20,1
A1_10004,2020.03.23,1,23,3,20,1
A1_10005,2020.03.23,1,23,3,20,1
A1_10006,2020.03.24,2,24,3,20,1
A1_10007,2020.03.24,2,24,3,20,1
A1_10008,2020.03.23,1,23,3,20,1
A1_10009,2020.03.24,2,24,3,20,1
A1_10010,2020.03.23,1,23,3,20,1
A1_10011,2020.03.24,2,24,3,20,1
A1_10012,2020.03.24,2,24,3,20,1
A1_10013,2020.03.24,2,24,3,20,1
A1_10014,2020.03.24,2,24,3,20,1
A1_10015,2020.03.24,2,24,3,20,1
A1_10016,2020.03.23,1,23,3,20,1
A1_10017,2020.03.24,2,24,3,20,1
A1_10018,2020.03.24,2,24,3,20,1
A1_10019,2020.03.24,2,24,3,20,1
A1_10020,2020.03.24,2,24,3,20,1
A1_10021,2020.03.24,2,24,3,20,1
A1_10022,2020.03.24,2,24,3,20,1
A1_10023,2020.03.24,2,24,3,20,1
A1_10024,2020.03.24,2,24,3,20,1
A1_10025,2020.03.24,2,24,3,20,1
A1_10026,2020.03.24,2,24,3,20,1
A1_10027,2020.03.24,2,24,3,20,1
A1_10028,2020.03.23,1,23,3,20,1
A1_10029,2020.03.24,2,24,3,20,1
A1_10030,2020.03.24,2,24,3,20,1
A1_10031,2020.03.24,2,24,3,20,1
A1_10032,2020.03.24,2,24,3,20,1
A1_10033,2020.03.24,2,24,3,20,1
A1_10034,2020.03.24,2,24,3,20,1
A1_10035,2020.03.24,2,24,3,20,1
A1_10036,2020.03.24,2,24,3,20,1
A1_10037,2020.03.24,2,24,3,20,1
A1_10038,2020.03.23,1,23,3,20,1
A1_10039,2020.03.24,2,24,3,20,1
A1_10040,2020.03.24,2,24,3,20,1
A1_10041,2020.03.24,2,24,3,20,1
A1_10042,2020.03.24,2,24,3,20,1
A1_10043,2020.03.24,2,24,3,20,1
A1_10044,2020.03.24,2,24,3,20,1
A1_10045,2020.03.24,2,24,3,20,1
A1_10046,2020.03.24,2,24,3,20,1
A1_10047,2020.03.24,2,24,3,20,1
A1_10048,2020.03.23,1,23,3,20,1
A1_10049,2020.03.24,2,24,3,20,1
A1_10050,2020.03.24,2,24,3,20,1
A1_10051,2020.03.23,1,23,3,20,1
A1_10052,2020.03.24,2,24,3,20,1
A1_10053,2020.03.24,2,24,3,20,1
A1_10054,2020.03.23,1,23,3,20,1
A1_10055,2020.03.24,2,24,3,20,1
A1_10056,2020.03.24,2,24,3,20,1
