age,population
0,"701,897"
1,"730,219"
2,"759,354"
3,"783,321"
4,"807,539"
5,"806,745"
6,"813,073"
7,"830,700"
8,"855,000"
9,"841,895"
10,"826,080"
11,"817,287"
12,"823,732"
13,"796,700"
14,"781,315"
15,"752,712"
16,"740,693"
17,"722,928"
18,"717,252"
19,"750,095"
20,"778,930"
21,"810,303"
22,"827,261"
23,"856,602"
24,"860,062"
25,"858,738"
26,"884,489"
27,"887,131"
28,"914,604"
29,"931,668"
30,"914,186"
31,"905,920"
32,"913,691"
33,"891,015"
34,"897,163"
35,"894,424"
36,"872,466"
37,"878,205"
38,"876,420"
39,"882,585"
40,"882,352"
41,"846,976"
42,"790,568"
43,"778,286"
44,"793,361"
45,"807,777"
46,"821,621"
47,"857,254"
48,"894,159"
49,"923,156"
50,"901,680"
51,"923,655"
52,"923,357"
53,"934,714"
54,"932,611"
55,"938,738"
56,"928,163"
57,"906,643"
58,"884,567"
59,"852,740"
60,"816,209"
61,"796,532"
62,"777,771"
63,"747,241"
64,"718,065"
65,"689,198"
66,"687,334"
67,"674,764"
68,"651,687"
69,"652,398"
70,"660,817"
71,"672,642"
72,"702,415"
73,"753,009"
74,"575,023"
75,"549,939"
76,"540,477"
77,"494,925"
78,"435,050"
79,"383,368"
80,"386,890"
81,"373,288"
82,"350,944"
83,"322,102"
84,"292,999"
85,"264,997"
86,"231,822"
87,"206,428"
88,"185,189"
89,"161,430"
90,"609,503"
